subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (1).jpg,0.7870891189543732,0.8741574118549117,0.9341362847222222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (2).jpg,0.7973016681367642,0.8818809988542236,0.9324273003472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (3).jpg,0.8860514381876696,0.9395832187785844,0.9395887586805556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (4).jpg,0.8126910243898853,0.8938245935087334,0.9234483506944444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (5).jpg,0.8177428812124742,0.8982544766479421,0.9142795138888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (6).jpg,0.5777460661139884,0.7277084262124838,0.7494845920138888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 50 (1).jpg,0.3116936472164368,0.4736510553580401,0.4782986111111111,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 50 (2).jpg,0.4149491166261928,0.582724344590052,0.5956217447916666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 50 (3).jpg,0.4564375267579619,0.6247386388118396,0.6322428385416666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 50 (4).jpg,0.4056119157723126,0.5731536228188014,0.5864529079861112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (1).jpg,0.7623892624709145,0.8484206396714171,0.9757215711805556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (2).jpg,0.7132606747936057,0.8066052390116218,0.9672309027777778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.7067540749086075,0.797533977341663,0.9795735677083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
