model_id,display_name,group,category,architecture,encoder,input_mode,subset,miou,dice,pixel_acc
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,418-17-4ph-x20,0.21205158893571419,0.2588548142324731,0.4203442770337302
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,418-17-4ph-x5,0.8155606525724994,0.8877768424279937,0.9814301215277778
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,5884-armor-steel,0.7032808247094613,0.8224667859810276,0.8358690372850529
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,6280-cast-iron-high,0.5421588868373975,0.6505921227135609,0.853200954861111
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,6280-cast-iron-low,0.4092512524479874,0.5719130090342301,0.6347508285984849
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,4130-steel,0.636496955759951,0.7708556122103808,0.7771321614583333
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,418-17-4ph-x20,0.4437363114428422,0.5340433886117656,0.7707325768849206
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,418-17-4ph-x5,0.6512932042509096,0.7382824732780915,0.9626453993055556
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,5884-armor-steel,0.6235280721369806,0.7589307082751802,0.7823376529431217
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,6280-cast-iron-high,0.5801021047336375,0.6964474400489241,0.8555691189236111
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,6280-cast-iron-low,0.4974009375322066,0.6594855433261224,0.7021262428977273
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,4130-steel,0.49133878636657613,0.6461445766310397,0.6833855523003473
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,418-17-4ph-x20,0.30901409319365386,0.3670025978908164,0.6007848668981481
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,418-17-4ph-x5,0.809662333993642,0.884117159338676,0.9795844184027778
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,5884-armor-steel,0.4994061116598819,0.6312785293008732,0.698751136739418
